github_handle,name,has_adapter_pr,has_non_adapter_pr
li-boxuan,Boxuan Li,False,True
alexgshaw,Alex Shaw,False,True
penfever,Ben Feuer,False,True
StevenDillmann,Steven Dillmann,True,True
CharlieFRuan,Charlie Ruan,False,True
ibercovich,Ivan Bercovich,False,True
Slimshilin,Lin Shi,True,True
linhaowei1,Haowei Lin,True,True
TheMikeMerrill,Mike Merrill,False,True
harshraj172,Harsh Raj,True,True
neginraoof,Negin Raoof,True,True
chenzizhao,Zizhao Chen,True,True
mieciu,Przemysław Hejman,True,True
LithiumDA,Shanda Li,True,False
Ji-Pengliang,Pengliang Ji,True,True
RishiDesai,Rishi Desai,False,True
james-rl,James,False,True
AkshayVenkataraman,Akshay Venkataraman,False,True
digitsisyph,Gary?,True,True
lurf21,Ruofan Lu,False,True
jakozaur,Jacek Migdal,False,True
dot-agi,Pratyush Shukla,False,True
luxinyu1,Solaris,False,True
michaelrglass,Michael Glass,False,True
connor-cognition,Connor Fogarty,False,True
DannyGooo,Yonghui Liu,True,False
octaviaguo,Ruohao Guo,True,False
HaishuoFang,Haishuo,True,False
Anjiang-Wei,Anjiang Wei,True,False
stared,Piotr Migdał,False,True
pfbyjy,Meji A,False,True
thdxr,Dax,False,True
rotemtam,Rotem Tamir,False,True
paraliine,Xiaoxuan Peng,False,True
giansegato,gian,False,True
tlongwell-block,tlongwell-block,False,True
Chesars,Cesar Garcia,False,True
HiromuHota,Hiromu Hota,False,True
EtashGuha,Etash Guha,False,True
KunWuLuan,GreenHand,False,True
anishathalye,Anish Athalye,False,True
WingchunSiu,Michael Siu,False,True
josancamon19,Joan Cabezas,False,True
beran-t,Berry,False,True
tmacie,tmacie,False,True
Michaelsqj,Qijia Shen,False,True
self-supervisor,Augustine Mavor-Parker,False,True
neverSettles,Chris Settles,False,True
ZhengShenghan,Shenghan Zheng,False,True
likaixin2000,Kaixin Li,False,True
MarcoRossignoli,Marco Rossignoli,False,True
rohitpaulk,Paul Kuruvilla,False,True
Guangy627,Guangy627,False,True
vatsj,Jacob Stavrianos,False,True
Yiozolm,Fangzhou Yi,False,True
xdotli,Xiangyi Li,False,True
killthefullmoon,Hui Shen,True,False
1171-jpg,140,True,False
xianliu,Xian Liu,True,False
nandatheguntupalli,Nanda Guntupalli,False,True
hanxu12,Han Xu,True,False
kanazawa-asyncio,Kanaza,False,True
Ternura143,Zixuan Zhu,True,False
EstelYang,Rui Yang,True,False
Hangzhi,Yiwei Dai,True,False
rootCircle,Lab Rat,False,True
terryyz,Terry Yue Zhuo,True,False
ifoukarakis,Ioannis Foukarakis,False,True
Rebabit,Rebecca Deng,True,False
Waterpine,Song Bian,True,False
avelanarius,Piotr Grabowski,True,False
bstee615,Benjamin Steenhoek,False,True
XuandongZhao,Xuandong Zhao,True,False
kobe0938,Kobe Chen,True,False
aht,Hai-Anh Trinh,True,False
robertzhidealx,Robert Zhang,True,False
dzorlu,Deniz Zorlu,False,True
crystalxyz,Crystal Zhou,True,False
pashpashpash,Nik Pash,False,True
dpedchenko,Dmitrii Pedchenko,False,True
richardzhuang0412,Richard Zhuang,False,True
ai-jz,ai-jz,False,True
liyuyun-lyy,liyuyun-lyy,False,True
orfeas-menis,Orfeas Menis,True,False
santaboi,Yang Fan Chiang,False,True
davidheineman,David Heineman,True,False
omi-n,nabil,True,False
junhongmit,Junhong Lin,True,False
MichaelY310,Michael Yang,True,False
ethanlshen,Ethan Shen,False,True
Dongzhikang,Zhikang Dong,True,False
audreycs,Yuxin Wang,True,False
dines-rl,Alexander Dines,False,True
cliangyu,Leon Chen,False,True
tyler-griggs,Tyler Griggs,False,True
